,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,84,6GG73Jik4jUlQCkKg9JuGO,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,The Middle,Jimmy Eat World,Bleed American,0.0371,https://api.spotify.com/v1/audio-analysis/6GG73Jik4jUlQCkKg9JuGO,0.643,165853,0.849,6GG73Jik4jUlQCkKg9JuGO,0.0,2,0.058,-5.428,1,0.0526,162.152,4,https://api.spotify.com/v1/tracks/6GG73Jik4jUlQCkKg9JuGO,audio_features,spotify:track:6GG73Jik4jUlQCkKg9JuGO,0.903,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,0UJhhj5bn5AGAjryFnhueP,[],76,2001-07-17
1,71,429IbFR4yp2J81CeTwF5iY,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,Sweetness,Jimmy Eat World,Bleed American,0.00305,https://api.spotify.com/v1/audio-analysis/429IbFR4yp2J81CeTwF5iY,0.487,220027,0.898,429IbFR4yp2J81CeTwF5iY,0.0,5,0.26,-4.436,1,0.038,135.331,4,https://api.spotify.com/v1/tracks/429IbFR4yp2J81CeTwF5iY,audio_features,spotify:track:429IbFR4yp2J81CeTwF5iY,0.597,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,0UJhhj5bn5AGAjryFnhueP,[],76,2001-07-17
2,69,61XspFITuKmAlYdQacNCbF,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,Bleed American,Jimmy Eat World,Bleed American,0.00842,https://api.spotify.com/v1/audio-analysis/61XspFITuKmAlYdQacNCbF,0.438,181493,0.938,61XspFITuKmAlYdQacNCbF,1.08e-06,6,0.806,-5.611,0,0.094,160.212,4,https://api.spotify.com/v1/tracks/61XspFITuKmAlYdQacNCbF,audio_features,spotify:track:61XspFITuKmAlYdQacNCbF,0.584,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,0UJhhj5bn5AGAjryFnhueP,[],76,2001-07-17
3,64,1TvNcWY7WwPLQINhimxycA,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,Hear You Me,Jimmy Eat World,Bleed American,0.00854,https://api.spotify.com/v1/audio-analysis/1TvNcWY7WwPLQINhimxycA,0.465,284373,0.517,1TvNcWY7WwPLQINhimxycA,0.0403,4,0.209,-6.189,1,0.0284,136.176,3,https://api.spotify.com/v1/tracks/1TvNcWY7WwPLQINhimxycA,audio_features,spotify:track:1TvNcWY7WwPLQINhimxycA,0.137,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,0UJhhj5bn5AGAjryFnhueP,[],76,2001-07-17
4,55,0n7d3no0cHnsnkgfFzDuj4,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,A Praise Chorus,Jimmy Eat World,Bleed American,0.0249,https://api.spotify.com/v1/audio-analysis/0n7d3no0cHnsnkgfFzDuj4,0.461,243507,0.936,0n7d3no0cHnsnkgfFzDuj4,8.63e-06,9,0.222,-5.296,1,0.0678,184.184,4,https://api.spotify.com/v1/tracks/0n7d3no0cHnsnkgfFzDuj4,audio_features,spotify:track:0n7d3no0cHnsnkgfFzDuj4,0.484,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,0UJhhj5bn5AGAjryFnhueP,[],76,2001-07-17
5,48,7gAw3OKcrfeRWOFxWs7wgK,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,The Authority Song,Jimmy Eat World,Bleed American,0.0169,https://api.spotify.com/v1/audio-analysis/7gAw3OKcrfeRWOFxWs7wgK,0.619,217213,0.853,7gAw3OKcrfeRWOFxWs7wgK,0.0,11,0.138,-4.078,0,0.0345,124.177,4,https://api.spotify.com/v1/tracks/7gAw3OKcrfeRWOFxWs7wgK,audio_features,spotify:track:7gAw3OKcrfeRWOFxWs7wgK,0.499,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,0UJhhj5bn5AGAjryFnhueP,[],76,2001-07-17
6,56,7HJmJYQqBq2tn7RleFlun5,3Ayl7mCk0nScecqOzvNp6s,2P6BqQ7RMpgx8lgoeahpW8,The Middle - Acoustic Version,Jimmy Eat World,Bleed American (Deluxe Edition),0.365,https://api.spotify.com/v1/audio-analysis/7HJmJYQqBq2tn7RleFlun5,0.787,190640,0.316,7HJmJYQqBq2tn7RleFlun5,0.0,2,0.0845,-7.556,1,0.0388,147.521,4,https://api.spotify.com/v1/tracks/7HJmJYQqBq2tn7RleFlun5,audio_features,spotify:track:7HJmJYQqBq2tn7RleFlun5,0.738,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,2P6BqQ7RMpgx8lgoeahpW8,[],49,2001-07-24
7,49,6VV8EboIsnmgv8Yy11g6Ww,3Ayl7mCk0nScecqOzvNp6s,2P6BqQ7RMpgx8lgoeahpW8,Last Christmas,Jimmy Eat World,Bleed American (Deluxe Edition),0.00144,https://api.spotify.com/v1/audio-analysis/6VV8EboIsnmgv8Yy11g6Ww,0.517,267773,0.881,6VV8EboIsnmgv8Yy11g6Ww,0.0,2,0.342,-4.657,1,0.0423,126.013,4,https://api.spotify.com/v1/tracks/6VV8EboIsnmgv8Yy11g6Ww,audio_features,spotify:track:6VV8EboIsnmgv8Yy11g6Ww,0.689,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",65,2P6BqQ7RMpgx8lgoeahpW8,[],49,2001-07-24
8,86,2DlHlPMa4M17kufBvI2lEN,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Chop Suey!,System Of A Down,Toxicity,0.000278,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,0.417,210240,0.934,2DlHlPMa4M17kufBvI2lEN,0.0015,7,0.132,-3.908,0,0.119,127.066,4,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,audio_features,spotify:track:2DlHlPMa4M17kufBvI2lEN,0.287,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
9,83,0snQkGI5qnAmohLE7jTsTn,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Toxicity,System Of A Down,Toxicity,0.000264,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,0.413,218933,0.873,0snQkGI5qnAmohLE7jTsTn,0.00249,8,0.204,-4.151,1,0.0536,116.68,3,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,audio_features,spotify:track:0snQkGI5qnAmohLE7jTsTn,0.48,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
10,80,4e9eGQYsOiBcftrWXwsVco,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Aerials,System Of A Down,Toxicity,0.000915,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,0.364,235053,0.922,4e9eGQYsOiBcftrWXwsVco,0.0346,0,0.0697,-4.217,0,0.0567,79.342,4,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,audio_features,spotify:track:4e9eGQYsOiBcftrWXwsVco,0.227,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
11,69,3AwLxSqo1jOOMpNsgxqRNE,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Prison Song,System Of A Down,Toxicity,0.0202,https://api.spotify.com/v1/audio-analysis/3AwLxSqo1jOOMpNsgxqRNE,0.493,201160,0.974,3AwLxSqo1jOOMpNsgxqRNE,8.31e-05,1,0.182,-3.252,1,0.135,99.647,4,https://api.spotify.com/v1/tracks/3AwLxSqo1jOOMpNsgxqRNE,audio_features,spotify:track:3AwLxSqo1jOOMpNsgxqRNE,0.354,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
12,72,6gCVA6ja6g0foIsWv0RuSZ,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,ATWA,System Of A Down,Toxicity,0.00378,https://api.spotify.com/v1/audio-analysis/6gCVA6ja6g0foIsWv0RuSZ,0.376,176200,0.787,6gCVA6ja6g0foIsWv0RuSZ,0.0,5,0.548,-4.731,0,0.0394,87.102,4,https://api.spotify.com/v1/tracks/6gCVA6ja6g0foIsWv0RuSZ,audio_features,spotify:track:6gCVA6ja6g0foIsWv0RuSZ,0.371,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
13,68,2SpGXD7EbexndFmmThrnsy,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Deer Dance,System Of A Down,Toxicity,0.0103,https://api.spotify.com/v1/audio-analysis/2SpGXD7EbexndFmmThrnsy,0.454,174933,0.938,2SpGXD7EbexndFmmThrnsy,0.000892,5,0.311,-3.594,0,0.123,160.157,4,https://api.spotify.com/v1/tracks/2SpGXD7EbexndFmmThrnsy,audio_features,spotify:track:2SpGXD7EbexndFmmThrnsy,0.795,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
14,63,1B5Y9I5wPfvD3C2A81A36C,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Forest,System Of A Down,Toxicity,0.000125,https://api.spotify.com/v1/audio-analysis/1B5Y9I5wPfvD3C2A81A36C,0.365,240107,0.905,1B5Y9I5wPfvD3C2A81A36C,0.00925,1,0.093,-4.153,1,0.0569,150.404,4,https://api.spotify.com/v1/tracks/1B5Y9I5wPfvD3C2A81A36C,audio_features,spotify:track:1B5Y9I5wPfvD3C2A81A36C,0.65,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
15,63,6V8oQXzymTzpEZOsiBiyJT,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Needles,System Of A Down,Toxicity,0.00112,https://api.spotify.com/v1/audio-analysis/6V8oQXzymTzpEZOsiBiyJT,0.534,193573,0.978,6V8oQXzymTzpEZOsiBiyJT,0.000122,1,0.0543,-3.113,1,0.0775,94.278,4,https://api.spotify.com/v1/tracks/6V8oQXzymTzpEZOsiBiyJT,audio_features,spotify:track:6V8oQXzymTzpEZOsiBiyJT,0.525,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
16,62,6dr2T6DRymdT1jfSUxDgut,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Bounce,System Of A Down,Toxicity,0.000245,https://api.spotify.com/v1/audio-analysis/6dr2T6DRymdT1jfSUxDgut,0.46,114227,0.977,6dr2T6DRymdT1jfSUxDgut,0.201,0,0.283,-3.853,0,0.0394,92.666,4,https://api.spotify.com/v1/tracks/6dr2T6DRymdT1jfSUxDgut,audio_features,spotify:track:6dr2T6DRymdT1jfSUxDgut,0.89,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
17,62,1a3X8Y882vwSnlnHqf9ztF,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Shimmy,System Of A Down,Toxicity,0.000941,https://api.spotify.com/v1/audio-analysis/1a3X8Y882vwSnlnHqf9ztF,0.433,110800,0.961,1a3X8Y882vwSnlnHqf9ztF,0.0266,2,0.0438,-3.556,1,0.0459,118.97,4,https://api.spotify.com/v1/tracks/1a3X8Y882vwSnlnHqf9ztF,audio_features,spotify:track:1a3X8Y882vwSnlnHqf9ztF,0.703,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
18,63,6VzV6RI7641o57TuqfGRpj,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Psycho,System Of A Down,Toxicity,0.00162,https://api.spotify.com/v1/audio-analysis/6VzV6RI7641o57TuqfGRpj,0.467,225893,0.67,6VzV6RI7641o57TuqfGRpj,0.0001,7,0.195,-4.063,1,0.0663,146.223,4,https://api.spotify.com/v1/tracks/6VzV6RI7641o57TuqfGRpj,audio_features,spotify:track:6VzV6RI7641o57TuqfGRpj,0.457,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
19,60,58lcznIKSNlOVdmklrPA99,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Science,System Of A Down,Toxicity,0.000497,https://api.spotify.com/v1/audio-analysis/58lcznIKSNlOVdmklrPA99,0.504,162667,0.849,58lcznIKSNlOVdmklrPA99,0.185,0,0.11,-3.606,1,0.0329,89.295,4,https://api.spotify.com/v1/tracks/58lcznIKSNlOVdmklrPA99,audio_features,spotify:track:58lcznIKSNlOVdmklrPA99,0.513,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
20,60,4HIKcEKSijQLW5YNLsdLzt,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,X,System Of A Down,Toxicity,0.00118,https://api.spotify.com/v1/audio-analysis/4HIKcEKSijQLW5YNLsdLzt,0.492,118160,0.948,4HIKcEKSijQLW5YNLsdLzt,0.00641,0,0.295,-3.549,1,0.0525,90.569,4,https://api.spotify.com/v1/tracks/4HIKcEKSijQLW5YNLsdLzt,audio_features,spotify:track:4HIKcEKSijQLW5YNLsdLzt,0.523,5eAWCfyUhZtHHtBdNk56l1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,6jWde94ln40epKIQCd8XUh,[],83,2001-09-04
